f0,f1,f2,f3,f4,f5,action
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
0,1,0,1.0,1.0,1.0,0
